file_name,domain,success,error,memory_peak_mb,memory_avg_mb,best_model_prauc,best_model_f1,best_prauc_score,best_f1_score,time_0_training,time_1_initialization,time_2_model_evaluation,time_3_model_ranking,time_end_to_end
0.csv,SKAB,True,,172879.26953125,138292.12265625,NN_2,NN_2,0.4755842739170866,0.9746340902519547,30193.42960214615,0.4828147888183594,616.0811591148376,0.0036530494689941406,30810.00413584709
1.csv,SKAB,True,,173092.25,173028.51171875,CBLOF_2,CBLOF_2,0.49941978802652004,0.99919499203142,33309.19096827507,0.4451415538787842,436.5546591281891,0.005473613739013672,33746.19978284836
2.csv,SKAB,True,,173092.70703125,173050.53203125,LOF_3,LOF_3,0.49948567924437515,0.99919499203142,33869.996525764465,0.4327516555786133,480.03038787841797,0.0055119991302490234,34350.46908950806
13.csv,SKAB,True,,173067.48046875,172127.6359375,CBLOF_2,CBLOF_2,0.49941978802652004,0.99919499203142,33540.99560856819,0.5076344013214111,441.5491187572479,0.005330324172973633,33983.06308841705
