file_name,domain,success,error,memory_peak_mb,memory_avg_mb,best_model_prauc,best_model_f1,best_prauc_score,best_f1_score
machine-3-10.txt,servermachinedataset,False,Models not available for servermachinedataset/machine-3-10,734.01171875,734.01171875,,,,
machine-3-11.txt,servermachinedataset,False,Models not available for servermachinedataset/machine-3-11,735.296875,735.296875,,,,
machine-3-1.txt,servermachinedataset,False,Models not available for servermachinedataset/machine-3-1,735.296875,735.296875,,,,
